idx,im_std,clicks,spent,success
57,-0.5322099087426205,6,8.050000072,-1.0
58,-0.5573855866945758,4,5.210000038,1.0
59,-0.574958043644531,2,2.349999964,-1.0
60,-0.4722346271801647,13,19.32999957,-1.0
61,-0.5829353507933915,1,1.450000048,-1.0
62,-0.5651806467462481,3,4.050000072,-1.0
63,-0.36161063918680664,23,32.97999978,-1.0
64,-0.3741633076703444,20,31.28999949,-1.0
65,-0.5514577600597111,6,8.789999962,-1.0
66,-0.5319381367555852,5,9.119999886,1.0
67,-0.5579866823835481,4,6.26000011,-1.0
68,-0.32395263373619326,28,38.63999999,1.0
69,-0.5895665872770537,1,0.239999995,-1.0
70,-0.5846011532080434,1,1.090000033,-1.0
71,-0.561235156957994,2,2.680000067,-1.0
72,-0.5788939414803015,2,3.00999999,-1.0
73,-0.590174077601015,1,1.580000043,1.0
74,-0.4518805040099656,10,14.06000042,-1.0
75,-0.5731323753551525,2,2.900000095,1.0
76,-0.5813143108236631,1,1.590000033,-1.0
77,-0.5409194015977293,3,4.590000153,-1.0
78,-0.5863532831950476,1,0.540000021,-1.0
79,-0.4859671058191853,7,13.41000009,1.0
80,-0.5874179899207272,1,0.860000014,1.0
81,-0.5104553605098159,9,10.77000046,1.0
82,-0.53235059071238,4,5.590000153,-1.0
83,-0.12652787040124483,36,58.16000044,1.0
84,-0.5277752293777028,7,10.61999977,1.0
85,-0.567907958569085,4,5.460000038,1.0
86,-0.44948571320656017,15,20.17999983,1.0
87,0.9818606068886624,116,176.3799977,1.0
88,-0.3028535355897679,27,34.39000046,1.0
89,-0.555617470120099,4,5.49000001,1.0
90,-0.5940236478644331,1,1.419999957,-1.0
91,-0.24185191511156687,38,51.97000027,1.0
92,-0.5739956510786764,2,3.190000057,-1.0
93,-0.557110617390046,2,1.960000038,-1.0
94,-0.571361061463181,1,0.600000024,-1.0
95,-0.5823118738819576,1,1.149999976,1.0
96,-0.5543417404397801,2,3.180000067,1.0
97,-0.588111807817041,1,0.980000019,1.0
98,-0.5842014885212268,2,1.480000049,1.0
99,-0.5495841320079146,3,2.939999938,1.0
100,-0.5661110661371572,3,4.600000024,1.0
101,-0.5580794045908896,2,2.669999957,-1.0
102,-0.49666852747338824,8,10.96000051,1.0
103,-0.5701524754502474,2,2.359999895,1.0
104,-0.5142825495507722,5,7.350000143,-1.0
105,-0.5059567347950076,10,9.340000033,-1.0
106,-0.5646658786296282,3,4.619999886,-1.0
107,-0.5248720650926666,5,8.5,-1.0
108,-0.5814773740158844,2,2.420000076,-1.0
109,-0.5759875798777707,2,2.950000048,-1.0
110,-0.5645443805648359,2,3.720000029,1.0
111,-0.5612895113554011,4,4.449999809,-1.0
112,-0.4879270614433342,8,13.07000017,-1.0
113,-0.5028297582853539,7,10.84999967,-1.0
114,-0.4731170868086559,9,10.84999967,-1.0
115,-0.46364982970734275,10,12.06000006,1.0
116,-0.5375654155459638,5,8.860000134,-1.0
117,-0.3286942555805862,21,27.72999954,1.0
118,-0.5164886986220003,6,7.349999905,-1.0
119,-0.3456464329366018,19,26.53000045,-1.0
120,-0.268693395478174,25,39.42999983,-1.0
121,-0.33221769945956187,24,47.93000031,-1.0
122,-0.5674987019297847,3,6.039999962,-1.0
123,-0.5724033869663988,2,2.369999886,-1.0
124,-0.5720356954545275,4,6.340000153,1.0
125,-0.21635970272765276,34,53.21999949,-1.0
126,-0.28025809285590103,23,35.79999948,-1.0
127,0.849418124312609,114,180.2200012,-1.0
128,0.014358727677871065,48,76.41000056,-1.0
129,-0.5260103101207205,6,9.549999952,-1.0
130,-0.4426402564507644,11,18.01999998,-1.0
131,-0.508927042747429,8,13.37,-1.0
132,-0.5644484610399999,4,4.590000033,1.0
133,-0.46874635379362883,16,25.86000001,-1.0
134,-0.5853429308667751,1,0.49000001,1.0
135,-0.572902168495546,1,1.679999948,1.0
136,-0.45189329327994376,15,25.41999936,1.0
137,-0.5232286439004765,2,3.310000062,1.0
138,-0.5445259757315629,1,1.549999952,-1.0
139,-0.45714009128847294,5,5.439999938,-1.0
140,-0.036267597530569406,55,81.60999787,-1.0
141,-0.5564167994937322,3,4.98999989,1.0
142,-0.3709851740807783,20,31.7099998,-1.0
143,-0.3926470001062415,16,25.52000046,-1.0
144,-0.5487464348243468,3,4.25999999,-1.0
145,-0.5689886518822372,1,1.830000043,-1.0
146,-0.5508119019258154,1,1.389999986,-1.0
147,-0.5279926469673312,2,2.809999943,-1.0
148,-0.38357301305675595,8,11.04999971,-1.0
149,-0.5110021018013811,5,7.229999781,-1.0
150,-0.5587124734548072,3,4.269999862,-1.0
151,-0.5351642301075693,6,9.4799999,1.0
152,-0.5619993158391874,2,2.890000105,-1.0
153,-0.4899605553698574,6,10.56999969,1.0
154,-0.53283018833656,2,3.200000048,1.0
155,-0.5475922032088203,1,0.970000029,-1.0
156,-0.5104841363672667,3,4.370000005,-1.0
157,-0.5466745730878892,1,0.569999993,1.0
158,-0.5857777660460317,1,1.809999943,1.0
159,-0.5372233025740488,2,3.319999933,-1.0
160,-0.5715720844178201,1,1.179999948,1.0
161,-0.5561642114116642,3,4.730000019,1.0
162,-0.5707823469966704,1,1.379999995,1.0
163,-0.5891157655103245,1,1.25999999,-1.0
164,-0.5848537412901116,2,3.049999952,-1.0
165,-0.5642470300378444,3,3.579999924,1.0
166,-0.5575358606168189,4,6.279999971,-1.0
167,-0.5733497929447807,1,1.210000038,-1.0
168,-0.14910412923014454,28,46.63000011,-1.0
169,-0.2548617999968229,20,34.44000012,-1.0
170,-0.5880990185470629,1,1.289999962,-1.0
171,-0.5444108723017597,6,9.21999979,-1.0
172,-0.5411272272348739,5,7.719999909,-1.0
173,-0.5658680700075728,2,1.5,1.0
174,-0.5831879388754597,1,0.180000007,1.0
175,-0.5609378064310023,3,5.389999866,1.0
176,-0.556343261191358,4,5.779999852,-1.0
177,-0.587824049242533,1,0.99000001,1.0
178,-0.5842878160935792,1,1.279999971,-1.0
179,-0.534364900733936,4,5.279999971,1.0
180,-0.5872996891734296,1,1.379999995,-1.0
181,-0.5873572408883312,1,1.049999952,1.0
182,-0.5858832775233512,1,1.340000033,1.0
183,-0.5344352417188157,7,10.42999983,-1.0
184,-0.5345759236885752,5,6.099999905,-1.0
185,-0.4070157449266742,12,19.65999949,-1.0
186,-0.0933557013954617,33,56.19000077,-1.0
187,-0.5210448760517102,4,6.029999852,-1.0
188,-0.5819313931001081,1,1.830000043,1.0
189,-0.5803870887502485,1,0.959999979,-1.0
190,-0.5539644569754252,3,2.619999945,-1.0
191,-0.5822830980245067,1,1.360000014,-1.0
